Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Ölands södra udde A;66110;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Sikt;momentanvärde, 1 gång/tim;meter

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1995-08-01 00:00:00;1995-10-31 23:59:59;1.53;56.1977;16.4005
1995-11-01 00:00:00;2023-10-01 15:21:00;1.53;56.1977;16.4005

Datum;Tid (UTC);Sikt;Kvalitet
2022-01-01;00:00:00;30127;G
2022-01-01;01:00:00;46698;G
2022-01-01;02:00:00;32330;G
2022-01-01;03:00:00;28454;G
2022-01-01;04:00:00;27105;G
2022-01-01;05:00:00;32320;G
2022-01-01;06:00:00;41351;G
2022-01-01;07:00:00;37659;G
2022-01-01;08:00:00;43575;G
2022-01-01;09:00:00;31322;G
2022-01-01;10:00:00;50000;G
2022-01-01;11:00:00;50000;G
2022-01-01;12:00:00;50000;G
2022-01-01;13:00:00;50000;G
2022-01-01;14:00:00;50000;G
2022-01-01;15:00:00;50000;G
2022-01-01;16:00:00;50000;G
2022-01-01;17:00:00;50000;G
2022-01-01;18:00:00;50000;G
2022-01-01;19:00:00;50000;G
2022-01-01;20:00:00;50000;G
2022-01-01;21:00:00;50000;G
2022-01-01;22:00:00;35096;G
2022-01-01;23:00:00;8545;G
2022-01-02;00:00:00;4343;G
2022-01-02;01:00:00;3183;G
2022-01-02;02:00:00;2497;G
2022-01-02;03:00:00;529;G
2022-01-02;04:00:00;783;G
2022-01-02;05:00:00;969;G
2022-01-02;06:00:00;462;G
2022-01-02;07:00:00;496;G
2022-01-02;08:00:00;326;G
2022-01-02;09:00:00;340;G
2022-01-02;10:00:00;368;G
2022-01-02;11:00:00;480;G
2022-01-02;12:00:00;357;G
2022-01-02;13:00:00;270;G
2022-01-02;14:00:00;313;G
2022-01-02;15:00:00;255;G
2022-01-02;16:00:00;423;G
2022-01-02;17:00:00;1981;G
2022-01-02;18:00:00;1884;G
2022-01-02;19:00:00;948;G
2022-01-02;20:00:00;416;G
2022-01-02;21:00:00;2580;G
2022-01-02;22:00:00;535;G
2022-01-02;23:00:00;448;G
2022-01-03;00:00:00;10983;G
2022-01-03;01:00:00;6483;G
2022-01-03;02:00:00;1187;G
2022-01-03;03:00:00;22449;G
2022-01-03;04:00:00;21368;G
2022-01-03;05:00:00;13931;G
2022-01-03;06:00:00;11200;G
2022-01-03;07:00:00;11685;G
2022-01-03;08:00:00;11754;G
2022-01-03;09:00:00;7652;G
2022-01-03;10:00:00;6218;G
2022-01-03;11:00:00;5163;G
2022-01-03;12:00:00;9103;G
2022-01-03;13:00:00;11713;G
2022-01-03;14:00:00;11053;G
2022-01-03;15:00:00;7257;G
2022-01-03;16:00:00;8621;G
2022-01-03;17:00:00;7556;G
2022-01-03;18:00:00;7887;G
2022-01-03;19:00:00;8683;G
2022-01-03;20:00:00;8299;G
2022-01-03;21:00:00;8127;G
2022-01-03;22:00:00;8110;G
2022-01-03;23:00:00;8640;G
2022-01-04;00:00:00;8826;G
2022-01-04;01:00:00;8534;G
2022-01-04;02:00:00;8868;G
2022-01-04;03:00:00;8154;G
2022-01-04;04:00:00;6468;G
2022-01-04;05:00:00;39188;G
2022-01-04;06:00:00;47241;G
